time;M1;M2;M3;M4;M5;M6;M7;M8
0.0;0.9;0.5;0.0;0.0;0.0;0.0;0.0;0.0
0.017576598312182;0.8972777;0.5449502;0.0;0.0;0.0;0.0;0.0;0.0
0.0351531966243641;0.8900491;0.5882186;0.0;0.0;0.0;0.0;0.0;0.0
0.0527297949365461;0.8783142;0.629805;0.0;0.0;0.0;0.0;0.0;0.0
0.0703063932487281;0.8620729;0.6697094;0.0;0.0;0.0;0.0;0.0;0.0
0.0878829915609102;0.8413253;0.707932;0.0;0.0;0.0;0.0;0.0;0.0
0.105459589873092;0.8160714;0.7444726;0.0;0.0;0.0;0.0;0.0;0.0
0.123036188185274;0.7863111;0.7793313;0.0;0.0;0.0;0.0;0.0;0.0
0.164199786003446;0.7053451;0.8432687;0.0;0.0;0.0;0.0;0.0;0.0
0.191398881981907;0.6439753;0.8731905;0.0;0.0;0.0;0.0;0.0;0.0
0.211176866667496;0.5966084;0.8881583;0.0;0.0;0.0;0.0;0.0;0.0
0.226383561937912;0.559137;0.8956044;0.0;0.0;0.0;0.0;0.0;0.0
0.24525794337848;0.5119163;0.8998225;0.0;0.0;0.0;0.0;0.0;0.0
0.263237024599382;0.4667701;0.8986173;0.0;0.0;0.0;0.0;0.0;0.0
0.28654450706811;0.4089586;0.8895016;0.0;0.0;0.0;0.0;0.0;0.0
0.324304860175553;0.3199622;0.8571923;0.0;0.0;0.0;0.0;0.0;0.0
0.384314314118381;0.201098;0.765815;0.0;0.0;0.0;0.0;0.0;0.0
0.420657424669335;0.1486843;0.6912519;0.0;0.0;0.0;0.0;0.0;0.0
0.446024614722813;0.1227832;0.6330695;0.0;0.0;0.0;0.0;0.0;0.0
0.46461029777258;0.1098481;0.5882128;0.0;0.0;0.0;0.0;0.0;0.0
0.480655496958019;0.102951;0.5484984;0.0;0.0;0.0;0.0;0.0;0.0
0.495996002532899;0.1001266;0.5100621;0.0;0.0;0.0;0.0;0.0;0.0
