Muscle 1,Muscle 2
-0.7710994125276569,4.226779583428701
2.2951705195696954,4.29593347066453
2.179690241855497,2.9887235828183414
2.029297322041657,1.609338521400778
1.768123903257801,0.22793926909285112
1.4391393911650263,-1.1725947966735333
1.1544670786602578,-2.5543297474631874
0.8224612802319372,-3.8625467307545587
0.4582284275577936,-5.109666590371557
0.11178759441519796,-6.293339436942092
-0.22223239490348665,-7.352468146791789
-0.5918364232852674,-8.18600747692073
-0.9835965514610513,-8.872846570534827
-1.3018387121385517,-9.377401388570991
-1.5888609140154117,-9.618768596932936
-1.8161287861448079,-9.646631570916304
-2.05279621576257,-9.496238651102464
-2.250858319981689,-9.211902037079422
-2.37976653696498,-8.699961852445256
-2.4381780727855342,-7.984924086366065
-2.510017547875181,-7.153063248645761
-2.5247882810711832,-6.117097734035249
-2.4297856107423517,-4.92637521934844
-2.327397573815518,-3.628900587472343
-2.1528343633173113,-2.257907988097963
-1.9024032959487296,-0.8825513084611275
-1.6519722285801481,0.4588998245212481
-2.0977798123140303,-9.500938429846647
-2.236087586785687,-9.155168993667504
-2.337804226749065,-8.66840619516289
-2.4059510185397115,-7.962096589608605
-2.492225528343633,-7.080552376592659
-2.4646982528419925,-6.009338521400778
-2.3965514610513465,-4.792767223620966
-2.2938277256427857,-3.4593728542000464
-2.0615243762874798,-2.1353780422674906
-1.8574196993972683,-0.8100404364080261
-1.6116884107728695,0.5616235599298084
-1.3431296253910123,1.9265735866330969
-1.0591287098496986,3.272724498359655
-0.7066453040360113,4.524879835202563
-0.33066300450141145,5.7075455863279165
-0.0023498893720912484,6.857312886243991
0.34946211947814143,7.799954222934311
0.6945601586938277,8.539833676661326
1.0557717250324254,9.086015106431676
1.3689784084840162,9.429770351720455
1.5667048142214084,9.549614709697108
1.8312352178225377,9.494560158693828
2.0621957732509344,9.266285191119248
2.2387731746395056,8.918501564049745
2.346868085755703,8.283360036621652
2.37976653696498,7.444785229266803
2.3817807278553444,6.439703974975203
2.284428168154421,5.260395208667124
2.187747005416953,4.048187991149767
2.0628671702143895,2.742992294193942
1.904753185320821,1.3840848401617456
1.663385976958877,0.014435034714274816
1.379385061417563,-1.392141603723201
1.0329442282749672,-2.7792477302204923
0.7026169222552834,-4.0612802319371335
0.37228961623559925,-5.315114061188678
0.007721065079728388,-6.4712596322575715
-0.33603418020904857,-7.507560845349812
-0.6948958571755551,-8.367956054016936
-1.0678568703746087,-8.985641260395209
-1.4371252002746624,-9.420706492713816
-1.6700999465934234,-9.609369039444573
-1.9081101701380943,-9.6170901045243
-2.099458304722667,-9.471396963454643
-2.2669718471046005,-9.135362783245595
-2.346196688792248,-8.581124589913784
-2.4025940337224383,-7.824124513618675
-2.4314641031509883,-6.927138170443275
-2.4589913786526285,-5.8576028076600295
-2.3985656519417105,-4.6719157701991305
0.03424124513618677,6.961379415579461
0.3931029221026932,7.908720531013961
0.7496147096971084,8.62577248798352
1.0832990005340655,9.155504692149234
1.3719996948195619,9.420706492713816
1.626794842450599,9.545250629434651
1.8580910963607233,9.464347295338369
2.08905165178912,9.258228427557793
2.2676432440680556,8.883588921950103
2.346868085755703,8.17325093461509
2.4025940337224383,7.3548180361638815
2.4099794003204393,6.343022812237735
2.350896467536431,5.191577019913024
2.247501335164416,3.9259937438010226
2.1172503242542153,2.5939421683070116
1.9245593957427327,1.2531624322880903
1.6962844281681542,-0.10708781567101548
1.3800564583810175,-1.4999008163576713
